Time [s], Type, Src, Dst, Cmd, Dat
1.833811708333333, command, 0x0, 0x0, 0x02
4.612631500000000, command, 0x3, 0x0, 0x0F
5.201490291666667, command, 0x0, 0x0, 0x01
5.248639583333333, command, 0x6, 0x6, 0x00
5.304111000000000, command, 0x0, 0x3, 0x13
5.362355958333334, command, 0x0, 0x3, 0x05
5.670222750000000, command, 0x6, 0x6, 0x00
5.725694125000000, command, 0x0, 0x3, 0x13
5.783939083333333, command, 0x0, 0x3, 0x10
6.299219541666667, command, 0x3, 0x0, 0x06
11.770095833333333, command, 0x3, 0x0, 0x10
13.048090500000001, command with data, 0x3, 0x0, 0x0C, 0x0000
13.140799208333334, command, 0x3, 0x0, 0x07
13.198853541666667, command, 0x0, 0x3, 0x1C
13.258772958333333, command, 0x3, 0x0, 0x10
14.870139333333332, command with data, 0x3, 0x0, 0x0C, 0x0001
15.764228708333333, command with data, 0x3, 0x0, 0x0C, 0x0002
16.185597874999999, command, 0x3, 0x0, 0x11
17.723957958333333, command with data, 0x3, 0x0, 0x0C, 0x0001
18.831237833333333, command with data, 0x3, 0x0, 0x0C, 0x0000
19.588486750000001, command, 0x3, 0x0, 0x10
20.799575833333332, command with data, 0x3, 0x0, 0x0C, 0x0001
21.644820374999998, command with data, 0x3, 0x0, 0x0C, 0x0002
22.959449750000001, command, 0x3, 0x0, 0x11
23.023287958333334, command with data, 0x3, 0x0, 0x0C, 0x0003
24.751633625000000, command with data, 0x3, 0x0, 0x0C, 0x0002
25.633676916666666, command with data, 0x3, 0x0, 0x0C, 0x0001
26.726519875000001, command, 0x3, 0x0, 0x06
46.508475333333337, command, 0x3, 0x0, 0x10
47.632130125000003, command with data, 0x3, 0x0, 0x0C, 0x0000
47.724843874999998, command, 0x3, 0x0, 0x07
47.782893000000001, command, 0x0, 0x3, 0x1C
47.842814750000002, command, 0x3, 0x0, 0x10
49.167444875000001, command with data, 0x3, 0x0, 0x0C, 0x0001
50.141761000000002, command with data, 0x3, 0x0, 0x0C, 0x0002
51.176593375000003, command with data, 0x3, 0x0, 0x0C, 0x0003
52.084290500000002, command with data, 0x3, 0x0, 0x0C, 0x0004
53.195179791666668, command with data, 0x3, 0x0, 0x0C, 0x0005
54.111762624999997, command with data, 0x3, 0x0, 0x0C, 0x0006
55.240417291666667, command with data, 0x3, 0x0, 0x0C, 0x0007
56.188480958333336, command with data, 0x3, 0x0, 0x0C, 0x0008
57.171287416666665, command with data, 0x3, 0x0, 0x0C, 0x0009
58.201120333333336, command with data, 0x3, 0x0, 0x0C, 0x0010
59.108542958333331, command with data, 0x3, 0x0, 0x0C, 0x0011
60.244137208333335, command with data, 0x3, 0x0, 0x0C, 0x0012
61.135181375000002, command with data, 0x3, 0x0, 0x0C, 0x0013
62.293257875000002, command with data, 0x3, 0x0, 0x0C, 0x0014
63.210118291666667, command with data, 0x3, 0x0, 0x0C, 0x0015
64.207474916666669, command with data, 0x3, 0x0, 0x0C, 0x0016
65.219824041666669, command with data, 0x3, 0x0, 0x0C, 0x0017
66.153337458333340, command with data, 0x3, 0x0, 0x0C, 0x0018
67.295868291666665, command with data, 0x3, 0x0, 0x0C, 0x0019
67.767378916666672, command, 0x0, 0x4, 0x07
67.822851041666667, command, 0x0, 0x3, 0x05
